,user,Database,Python,CloudComputing,DataAnalysis,Containers,MachineLearning,ComputerVision,DataScience,BigData,Chatbot,R,BackendDev,FrontendDev,Blockchain
0,1889878,24,13,22,19,9,23,0,9,11,4,12,17,0,13
1,1342067,17,0,7,5,0,0,0,0,13,0,0,0,0,0
2,1990814,45,16,13,39,13,27,0,27,41,0,7,18,0,0
3,380098,12,21,14,26,16,52,0,32,5,0,16,14,0,3
4,779563,3,11,0,12,0,0,0,7,3,0,0,5,0,5
5,1390655,0,10,0,12,0,0,0,12,0,0,4,0,0,0
6,367075,20,0,5,16,0,3,0,19,17,0,5,0,0,0
7,1858700,0,0,14,0,0,7,0,9,0,0,0,0,0,0
8,600100,9,0,0,3,0,0,0,13,9,0,0,0,0,0
9,623377,3,4,0,0,0,0,0,15,3,0,0,0,0,0
10,766893,48,10,29,7,23,11,0,8,35,0,3,63,9,13
11,1248617,8,3,12,5,6,11,0,6,8,0,3,7,0,3
12,1633385,8,14,9,10,9,19,0,8,5,4,3,17,5,12
13,1706535,4,16,5,9,0,4,0,3,4,0,0,3,0,0
14,1804498,5,15,3,8,0,3,0,17,0,0,0,0,0,0
15,1474302,0,11,0,7,0,0,0,16,0,0,0,0,0,0
16,1602482,66,17,7,39,3,31,0,34,58,0,17,21,0,0
17,301887,4,9,0,0,0,5,0,23,4,0,8,3,0,8
18,633216,0,0,0,0,0,0,0,0,0,4,0,0,0,0
19,1794016,3,0,0,0,5,0,0,0,0,0,0,18,15,0
20,2098743,0,13,0,14,0,0,0,15,0,0,0,0,0,0
21,1143622,11,13,9,19,3,8,0,17,3,0,14,5,0,5
22,1007849,13,13,0,12,0,0,0,15,10,0,0,0,0,0
23,1555457,18,4,8,3,4,12,0,15,12,0,0,3,0,3
24,946915,5,5,11,0,8,3,0,10,5,0,8,3,0,8
25,892274,11,15,0,9,0,3,0,6,7,3,4,0,0,0
26,551690,40,19,0,26,0,15,0,22,40,0,8,0,0,0
27,750076,12,4,0,9,0,4,0,4,12,3,0,0,0,0
28,789341,9,3,0,0,0,4,0,3,9,0,0,4,0,4
29,773165,0,8,17,6,8,8,0,3,0,3,0,6,0,5
30,794886,0,13,0,5,0,8,0,8,0,3,0,4,0,4
31,1342117,3,12,17,6,12,20,0,25,3,0,0,17,0,12
32,640330,34,5,0,8,0,0,0,5,34,0,0,0,0,0
33,1034313,11,5,5,9,0,0,0,9,11,4,0,5,0,5
